create_time,breath_line,heart_line
2025/06/22 19:04:41,-0.00141859,0.0423644
2025/06/22 19:04:42,-0.000919372,0.112798
2025/06/22 19:04:43,-0.00896443,-0.0462568
2025/06/22 19:04:44,0.00740064,0.0767752
2025/06/22 19:04:45,0.00136367,0.150575
2025/06/22 19:04:46,-0.00665006,0.0283169
2025/06/22 19:04:47,0.00154773,0.0459169
2025/06/22 19:04:48,-0.0415373,0.336783
2025/06/22 19:04:49,0.0239837,-0.0376026
2025/06/22 19:04:50,0.0254328,0.125782
2025/06/22 19:04:51,0.00705224,-0.0500297
2025/06/22 19:04:52,-0.0688275,-0.521898
2025/06/22 19:04:53,-0.157108,0.299752
2025/06/22 19:04:54,0.0840399,0.214196
2025/06/22 19:04:55,0.0343868,-0.505162
2025/06/22 19:04:56,0.10909,0.0370504
2025/06/22 19:04:57,0.0119769,-0.0132261
2025/06/22 19:04:58,-0.0547277,0.136224
2025/06/22 19:04:59,-0.0177208,-0.0469391
2025/06/22 19:05:00,-0.0138281,-0.0341421
2025/06/22 19:05:01,-0.0183462,0.031221
2025/06/22 19:05:02,-0.0104452,0.00616247
2025/06/22 19:05:03,0.0011682,0.00410991
2025/06/22 19:05:04,0.00146046,-0.0321292
2025/06/22 19:05:05,-0.000253238,-0.0296911
2025/06/22 19:05:06,-0.0406158,0.0840202
2025/06/22 19:05:07,0.00328261,0.0152124
2025/06/22 19:05:08,0.0120591,-0.0770635
2025/06/22 19:05:09,0.0505406,-0.00962858
2025/06/22 19:05:10,0.0155416,-0.0703318
2025/06/22 19:05:11,0.0740646,0.156484
2025/06/22 19:05:12,-0.0648694,0.068086
2025/06/22 19:05:13,-0.0802638,-0.0351157
2025/06/22 19:05:14,-0.012184,0.0195704
2025/06/22 19:05:15,0.0048691,0.0420769
2025/06/22 19:05:16,0.0,0.0
2025/06/22 19:05:17,0.0,0.0
2025/06/22 19:05:18,0.0,0.0
2025/06/22 19:05:19,0.0,0.0
2025/06/22 19:05:20,0.0128622,-0.0180918
2025/06/22 19:05:21,-0.0109536,-0.00534694
2025/06/22 19:05:22,-0.000725135,-0.0375462
2025/06/22 19:05:23,0.00254076,0.00395031
2025/06/22 19:05:24,0.00168008,0.0292294
2025/06/22 19:05:25,-0.00168632,-0.00915608
2025/06/22 19:05:26,-0.000438157,-0.00959552
2025/06/22 19:05:27,-0.00218108,-0.00872691
2025/06/22 19:05:28,0.00595935,-0.00707438
2025/06/22 19:05:29,0.000224901,-0.0102452
2025/06/22 19:05:30,-0.00139664,-0.0186483
2025/06/22 19:05:31,0.00269703,0.0513937
2025/06/22 19:05:32,-0.00380179,0.00770121
2025/06/22 19:05:33,0.0020922,0.0163518
2025/06/22 19:05:34,0.00234792,-0.0534474
2025/06/22 19:05:35,-0.00706825,0.021102
2025/06/22 19:05:36,0.0108536,0.0216845
2025/06/22 19:05:37,-0.00480152,0.00290037
2025/06/22 19:05:38,0.0599967,-0.0966854
2025/06/22 19:05:39,-0.0281202,-0.0234036
2025/06/22 19:05:40,-0.0215177,-0.0328778
2025/06/22 19:05:41,-0.00884397,0.00166963
2025/06/22 19:05:42,-0.000641942,0.0352836
2025/06/22 19:05:43,0.0124518,0.0934587
2025/06/22 19:05:44,0.0158133,0.020593
2025/06/22 19:05:45,-0.0130886,-0.0665154
